"file_name","size_bytes","category","catalogue_status","authority","notes"
"Abu-Dhabi-Emirate-Guideline-for-Infrastructure-Services-Standards (4).pdf","15512265","formal_standard","duplicate_candidate","QCC","Duplicate candidate of canonical umbrella ISGL file; not TR-514."
"UAE Fire and Life Safety Code of Practice.pdf","47523957","formal_standard","canonical_new","UAE Civil Defence",""
"Federal Law No 23.pdf","1196006","legislation","requires_identification","","Generic filename and no extractable text layer; OCR/title/date verification required."
"Ministerial Law No 24.pdf","15431862","legislation","requires_identification","","Generic filename and no extractable text layer; OCR/title/date verification required."
"Ministerial Resolution No 213.pdf","1072434","legislation","requires_identification","","Generic filename and no extractable text layer; OCR/title/date verification required."
"Cabinet Resolution No 50.pdf","1123477","legislation","requires_identification","","Generic filename and no extractable text layer; OCR/title/date verification required."
"Circular-03-2026-Amendments-to-the-UAE-FLS-Code-of-Practice-002.pdf","723048","amendment_circular","supporting_unofficial_translation","","English translation states Arabic original governs; obtain official Arabic circular."
"SpecificRequirementsForTechnicalApproval (1).pdf","1024276","formal_standard","duplicate_candidate","QCC","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"SpecificRequirementsForTechnicalApproval.pdf","1024276","formal_standard","canonical_new","QCC",""
"Abu-Dhabi-Emirate-Guideline-for-Infrastructure-Services-Standards (1).pdf","15512265","formal_standard","duplicate_candidate","QCC","Duplicate candidate of canonical umbrella ISGL file; not TR-514."
"Abu-Dhabi-Emirate-Guideline-for-Infrastructure-Services-Standards (2).pdf","15512265","formal_standard","duplicate_candidate","QCC","Duplicate candidate of canonical umbrella ISGL file; not TR-514."
"Abu-Dhabi-Emirate-Guideline-for-Infrastructure-Services-Standards (3).pdf","15512265","formal_standard","duplicate_candidate","QCC","Duplicate candidate of canonical umbrella ISGL file; not TR-514."
"Abu-Dhabi-Emirate-Guideline-for-Infrastructure-Services-Standards.pdf","15512265","formal_standard","canonical_new","QCC",""
"Abu Dhabi Public Toilet Planning and Regulation Manual-EN.pdf","4206529","formal_standard","existing_corpus_copy","DMT / QCC","Already represented in earlier permanent corpus/release."
"2022 V3 Abu Dhabi Public Realm Design Manual_Eng (1).pdf","123294181","formal_standard","duplicate_candidate","DMT / QCC","Filename and byte size match another Batch 1 item; hash confirmation required before deletion."
"2022 V3 Abu Dhabi Public Realm Design Manual_Eng.pdf","123294181","formal_standard","canonical_new","DMT / QCC",""
"2022 V3 Abu Dhabi PRDM_Eng_Map Update.pdf","95421019","formal_standard","canonical_new","",""
