id,catalogue_title,source_url,retrieval_status,retrieved_utc,file_name,file_size_bytes,sha256,pdf_title,author,creation_date,pages,encrypted,error
ADCDA-01,ADG 45 2024 Temporary Buildings Fire Safety,https://srv.adcda.gov.ae/ar/Doc/Guidelines%20Manual%20temp%20building.pdf,downloaded,2026-09-20T13:11:18.884497+00:00,ADCDA-01__ADG-45-2024-Temporary-Buildings-Fire-Safety.pdf,954355,7174d5b6dd24d66c1e16d0f2b5cb3c1be19f9d95e99ef9b7ae28d5c9146054d8,,,Mon Jan  6 10:21:35 2025 GMT,14,no,
ADM-03,ADG-005-2017,https://jawdah.qcc.abudhabi.ae/en/Registration/QCCServices/Services/STD/ADG/ADG-005-2017-En.pdf,downloaded,2026-09-20T13:10:59.817285+00:00,ADM-03__ADG-005-2017.pdf,7860611,52d08f4290f6b8b7d44f89caf340b57052975a1cc3e68e7858161a883b139c73,ADG-005-2017-En,,Sun Dec 28 18:09:25 2025 GMT,57,no,
ADM-04,ADG-15 Industrial Lands Mussafah,https://www.qcc.gov.ae/-/media/Project/QCC/QCC/Documents/Quality-Infrastructure-Documents/Abu-Dhabi-Specification/Abu-Dhabi-Guideline/ADG-15---Development-And-Organization-of-Industrial-Lands-Guideline-for-Mussafah-Region.pdf,downloaded,2026-09-20T13:10:57.568425+00:00,ADM-04__ADG-15-Industrial-Lands-Mussafah.pdf,4081002,251e279c2e008e5f29b3093c1b7e169983f60b0432e346565f91650e6902ceba,,,Sun May 21 09:09:43 2017 BST,56,no,
DMT-01,Community Facility Planning Standards,https://www.dmt.gov.ae/-/media/Project/DMT/DMT/E-Library/10-24/02/DMT_Community-Facility-Planning-Standards_EN_Interactive_2_Map-Update.pdf,downloaded,2026-09-20T13:09:14.343443+00:00,DMT-01__Community-Facility-Planning-Standards.pdf,4198744,0e43f39aa8dc39123c6cec0ec9e30db37fce59c8729dedfbe105a9e9e7ceeac2,,,Fri Oct 11 09:15:18 2024 BST,172,no,
DMT-02,Abu Dhabi Public Toilet Planning and Regulation Manual,https://dmt.gov.ae/-/media/Project/DMT/DMT/E-Library/05-25/Abu-Dhabi-Public-Toilet-Planning-and-Regulation-Manual-EN.pdf,downloaded,2026-09-20T13:09:13.755085+00:00,DMT-02__Abu-Dhabi-Public-Toilet-Planning-and-Regulation-Manual.pdf,4206529,7a84bd4401eda316682fbce35dfadb97ef6b7282afb2f268f2724f9a7e7b7148,,,Tue Feb 18 10:46:55 2025 GMT,31,no,
DMT-03,Abu Dhabi Waste Bin Planning and Regulation Manual Part 1,https://www.dmt.gov.ae/-/media/Project/DMT/DMT/E-Library/10-24/20220713_Abu-Dhabi-Waste-Bin-Planning-and-Regulation-Manual_Part-1.pdf,downloaded,2026-09-20T13:09:25.705480+00:00,DMT-03__Abu-Dhabi-Waste-Bin-Planning-and-Regulation-Manual-Part-1.pdf,10109261,788c93e3632f1670d58a8bdf382c04fc4d812448d2ec5e29e12745b2bad058a4,,,Thu Jul 14 09:56:49 2022 BST,26,no,
DMT-04,Abu Dhabi Urban Street Design Manual,https://www.dmt.gov.ae/-/media/Project/DMT/DMT/E-Library/0001-Manuals/Abu-Dhabi-Urban-Street-Design-Manual.pdf,downloaded,2026-09-20T13:10:15.153290+00:00,DMT-04__Abu-Dhabi-Urban-Street-Design-Manual.pdf,34449689,55a7b2524d4807e80fcd810a124c750b05986fe9c0af6d13cf706f76077b9dab,USDM-Manual-English-v1.1 edited.pdf,Euclide.Malagrino,Wed Jun  8 08:51:45 2016 BST,239,no,
DMT-05,Unified As-Built GeoSpatial Data Submission Standards,https://admobility.gov.ae/services/-/media/As-Built-Data-Submission-Standards.pdf,downloaded,2026-09-20T13:09:05.618273+00:00,DMT-05__Unified-As-Built-GeoSpatial-Data-Submission-Standards.pdf,8739248,a3fbd880d2e1f2200b4b18e1c7597ac87e5b9a90ac94e0d8a675983decf56bb9,,rstudio,Wed Feb 22 05:28:11 2023 GMT,446,no,
DOE-01,Customer Metering Regulations Second Edition,https://doe.gov.ae/-/media/Project/DOE/Department-Of-Energy/Media-Center-Publications/Regulations/English/the-customer-metering-regulations-second-edition.pdf,downloaded,2026-09-20T13:11:03.039172+00:00,DOE-01__Customer-Metering-Regulations-Second-Edition.pdf,1041910,be25c8a9134567f01cc4530ccad01d5f7c5297c4f37f667a5023c63a7e4af4ae,,Chris Parkinson,Sun Jan 14 07:36:35 2018 GMT,38,no,
DOE-02,Recycled Water and Biosolids Regulations 2021 Edition 3,https://www.doe.gov.ae/-/media/Project/DOE/Department-Of-Energy/Media-Center-Publications/Regulations/English/Recycled-Water--Biosolids-Regulations-2021-Edition-3.pdf,downloaded,2026-09-20T13:11:10.762062+00:00,DOE-02__Recycled-Water-and-Biosolids-Regulations-2021-Edition-3.pdf,1382286,4aadb034e8786bf3e89115ecf112dec9dd824105d8711f1533bb7df2f3373fb0,,Tansel Derya,Thu Jan  7 10:05:04 2021 GMT,51,no,
